"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"60",60,60,"Jones, Megan A.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-7905-0216","WOS:000471051300002",12,"J","2019",NA
"61",61,61,"Sandercock, Brett K.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"L-1644-2016","0000-0002-9240-0268","WOS:000471051300002",12,"J","2019",NA
"62",62,62,"Shogren, Elsie H.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471051300002",12,"J","2019",NA
"63",63,63,"Bluethgen, Nico",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"64",64,126,"Brueckner, Adrian",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"65",65,65,"Donoso, David A.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"66",66,66,"Fiala, Brigitte",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"67",67,67,"Hoenle, Philipp O.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"68",68,68,"Ospina Jara, Bryan",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"69",69,69,"Kronauer, Daniel J. C.",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"70",70,70,"Smith, M. Alex",7,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"71",71,130,"von Beeren, Christoph",9,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000471073000020",13,"J","2019",NA
"72",72,72,"Cushman, K. C.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"W-1713-2019","0000-0002-3464-1151","WOS:000457829800012",14,"J","2019",NA
