,authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
8010,8010,3523,"Andrade, Ana",3,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000305380700001,935,J,2012,NA
8017,8017,3504,"Mesquita, Rita",8,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000305380700001,935,J,2012,NA
8019,8019,8019,"Bruce Williamson, G.",10,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000305380700001,935,J,2012,NA
8431,8431,8431,"da Silva, Mariana T. B.",3,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000290533700014,985,J,2011,NA
8433,8433,9001,"Rubim, Paulo",4,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000290533700014,985,J,2011,NA
8998,8998,8998,"Anciaes, Marina",4,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000277867600009,1060,J,2010,NA
9001,9001,9001,"Rubim, Paulo",3,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000277867600009,1060,J,2010,NA
9011,9011,1336,"Bobrowiec, Paulo E. D.",1,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,"inst nacl de pesquisas da amazonia, biol dynam forest fragments project, cp 478, br-69011970 manaus, amazonas, brazil.",A-2630-2013,NA,WOS:000275916800015,1062,J,2010,NA
6741,6741,5129,"Bruna, Emilio M.",7,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,H-2769-2012,0000-0003-3381-8477,WOS:000329786700016,750,J,2013,NA
6742,6742,5129,"Bruna, Emilio M.",7,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69083000 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69083000, manaus,amazonas,brazil,NA,H-2769-2012,0000-0001-5427-1461,WOS:000329786700016,750,J,2013,NA
