"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"54",54,13,"Schnitzer, Stefan A.",2,"Marquette Univ, Dept Biol Sci, Milwaukee, WI 53201 USA.","marquette univ","dept biol sci","53201","milwaukee","wi","usa",NA,NA,NA,"WOS:000474127300011",11,"J","2019","WILEY"
"55",55,2110,"Yanoviak, Stephen P.",3,"Univ Louisville, Dept Biol, Louisville, KY 40292 USA.","univ louisville","dept biol","40292","louisville","ky","usa","smithsonian trop res inst, balboa, panama.",NA,NA,"WOS:000474127300011",11,"J","2019","WILEY"
"56",56,56,"Benitez-Malvido, Julieta",2,"Univ Nacl Autonoma Mexico, IIES, Michoacan, Mexico.","univ nacl autonoma mexico",NA,NA,"iies","michoacan","mexico",NA,NA,NA,"WOS:000467981600009",12,"J","2019","UNIV WISCONSIN PRESS"
"57",57,57,"Castillo-Mandujano, Jessica",4,"Univ Austral Chile, Fac Ciencias Forestales & Recursos Nat, Valdivia, Chile.","univ austral chile",NA,"encia","fac cis forestales & recursos nat","valdivia","chile",NA,NA,NA,"WOS:000467981600009",12,"J","2019","UNIV WISCONSIN PRESS"
"58",58,58,"Mendez-Toribio, Moises",1,"Inst Ecol AC, Red Diversidad Biol Occidente Mexicano, Ave Lazaro Cardenas 253, Patzcuaro 61600, Michoacan, Mexico.","inst ecol ac","inst ecol ac"," 61600","patzcuaro","michoacan","mexico","inst ecol ac, red diversidad biol occidente mexicano, ave lazaro cardenas 253, patzcuaro 61600, michoacan, mexico.",NA,NA,"WOS:000467981600009",12,"J","2019","UNIV WISCONSIN PRESS"
"59",59,59,"Zermeno-Hernandez, Isela E.",3,"Univ Michoacana, Inst Invest Recursos Nat INIRENA, Michoacan, Mexico.","univ michoacana",NA,NA,"inst invest recursos nat inirena","michoacan","mexico",NA,NA,NA,"WOS:000467981600009",12,"J","2019","UNIV WISCONSIN PRESS"
"60",60,1543,"Engelbrecht, Bettina M. J.",3,"Univ Bayreuth, Bayreuth Ctr Ecol & Environm Res BayCEER, Dept Plant Ecol, Univ Str 31, D-95447 Bayreuth, Germany.","univ bayreuth","bayreuth ctr ecol & environm res bayceer","95447"," bayreuth",NA,"germany",NA,NA,NA,"WOS:000469960500001",13,"J","2019","NATURE PUBLISHING GROUP"
"61",61,61,"Kupers, Stefan J.",1,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","german ctr integrat biodivers res idiv","deutsch pl 5e","04103"," leipzig",NA,"germany","german ctr integrat biodivers res idiv, deutsch pl 5e, d-04103 leipzig, germany.",NA,NA,"WOS:000469960500001",13,"J","2019","NATURE PUBLISHING GROUP"
"62",62,82,"Rueger, Nadja",4,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","german ctr integrat biodivers res idiv","deutsch pl 5e","04103"," leipzig",NA,"germany",NA,NA,NA,"WOS:000469960500001",13,"J","2019","NATURE PUBLISHING GROUP"
"63",63,86,"Wirth, Christian",2,"German Ctr Integrat Biodivers Res iDiv, Deutsch Pl 5e, D-04103 Leipzig, Germany.","german ctr integrat biodivers res idiv","deutsch pl 5e","04103"," leipzig",NA,"germany",NA,NA,NA,"WOS:000469960500001",13,"J","2019","NATURE PUBLISHING GROUP"
