"","authorID","university","postal_code","country","lat","lon","groupID","author_order","address","department","RP_address","RI","OI","UT","refID"
"111",111,"brookhaven natl lab","11973","usa",40.86954,-72.88677,3230,1,"Brookhaven Natl Lab, Environm & Climate Sci Dept, Upton, NY 11973 USA.","environm & climate sci dept","univ hong kong, sch biol sci, pokfulam, hong kong, peoples r china.",NA,NA,"WOS:000490762200001",5
"112",112,"yale univ","06511","usa",41.365709,-72.927507,5055,3,"Yale Univ, Sch Forestry & Environm Studies, 195 Prospect St, New Haven, CT 06511 USA.","195 prospect st",NA,NA,NA,"WOS:000492241800001",6
"113",113,"yale univ","06511","usa",41.365709,-72.927507,2528,1,"Yale Univ, Sch Forestry & Environm Studies, 195 Prospect St, New Haven, CT 06511 USA.","195 prospect st","natl ctr biol sci, gkvk campus,bellary rd, bengaluru 560065, karnataka, india.",NA,NA,"WOS:000492241800001",6
"114",114,NA,NA,NA,NA,NA,114,2,"Could not be extracted",NA,NA,NA,NA,"WOS:000492241800001",6
"115",115,"ludwig maximilians univ munchen",NA,"germany",48.13743,11.57549,115,1,"Ludwig Maximilians Univ Munchen, Fac Biol, Munich Grad Sch Evolut Ecol & Systemat EES, Munich, Germany.","fac biol","tambora muda indonesia, jalan samiaji 3 nomor 10 bantarjati, bogor 16153, indonesia.",NA,"0000-0002-0736-4750","WOS:000489907900001",7
"116",116,"univ lisbon","1749016","portugal",38.7166667,-9.1333333,1337,3,"Univ Lisbon, Fac Sci, Ctr Ecol Evolut & Environm Changes, P-1749016 Lisbon, Portugal.","fac sci",NA,NA,NA,"WOS:000489907900001",7
"117",117,"univ lisbon","1749016","portugal",38.7166667,-9.1333333,212,4,"Univ Lisbon, Fac Sci, Ctr Ecol Evolut & Environm Changes, P-1749016 Lisbon, Portugal.","fac sci",NA,NA,NA,"WOS:000489907900001",7
"118",118,"univ lisbon","1749016","portugal",38.7166667,-9.1333333,1339,2,"Univ Lisbon, Fac Sci, Ctr Ecol Evolut & Environm Changes, P-1749016 Lisbon, Portugal.","fac sci",NA,NA,NA,"WOS:000489907900001",7
"119",119,"univ louisville","40292","usa",38.188962,-85.676819,584,1,"Univ Louisville, Dept Biol, Louisville, KY 40292 USA.","dept biol",NA,NA,NA,"WOS:000492271600001",8
"120",120,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,7680,4,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000492271600001",8
"121",121,"univ louisville","40292","usa",38.188962,-85.676819,121,2,"Univ Louisville, Dept Biol, Louisville, KY 40292 USA.","dept biol",NA,NA,NA,"WOS:000492271600001",8
"122",122,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,122,6,"Smithsonian Trop Res Inst, ForestGEO, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000492271600001",8
"123",123,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,225,5,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000492271600001",8
"124",124,"yale nus coll",NA,"singapore",1.28967,103.85007,947,3,"Yale NUS Coll, Singapore, Singapore.",NA,NA,NA,NA,"WOS:000492271600001",8
"125",125,"univ louisville","40292","usa",38.188962,-85.676819,5164,7,"Univ Louisville, Dept Biol, Louisville, KY 40292 USA.","dept biol","univ louisville, dept biol, louisville, ky 40292 usa.",NA,NA,"WOS:000492271600001",8
"126",126,"purdue univ","47907","usa",40.406906,-86.889,90,3,"Purdue Univ, Dept Biol Sci, W Lafayette, IN 47907 USA.","dept biol sci",NA,NA,NA,"WOS:000490551300002",9
"127",127,"purdue univ","47907","usa",40.406906,-86.889,127,1,"Purdue Univ, Dept Biol Sci, W Lafayette, IN 47907 USA.","dept biol sci","purdue univ, dept biol sci, w lafayette, in 47907 usa.",NA,NA,"WOS:000490551300002",9
"128",128,"smithsonian trop res inst",NA,"panama",8.96667,-79.55,128,2,"Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000490551300002",9
"129",129,"noaas natl marine fisheries serv",NA,"usa",38.895112,-77.036366,129,2,"NOAAs Natl Marine Fisheries Serv, Natl Systemat Lab, Smithsonian Natl Museum Nat Hist, Washington, DC USA.",NA,NA,NA,NA,"WOS:000488559000001",10
"130",130,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,546,4,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000488559000001",10
"131",131,"univ azores",NA,"portugal",38.53333,-28.63333,131,1,"Univ Azores, Dept Oceanog & Fisheries, MARE, IMAR,OKEANOS, Horta, Portugal.","dept oceanog & fisheries","univ azores, mare, imar, okeanos, rua prof dr frederico machado 4, p-9901862 horta, portugal.",NA,NA,"WOS:000488559000001",10
"132",132,"univ azores",NA,"portugal",38.53333,-28.63333,132,3,"Univ Azores, Dept Oceanog & Fisheries, MARE, IMAR,OKEANOS, Horta, Portugal.","dept oceanog & fisheries",NA,NA,NA,"WOS:000488559000001",10
"133",133,NA,NA,NA,NA,NA,3751,6,"Could not be extracted",NA,NA,NA,NA,"WOS:000488690700001",11
"134",134,"univ fed pernambuco",NA,"brazil",-8.05389,-34.88111,134,7,"Univ Fed Pernambuco, Ctr Biociencias, Dept Zool, Recife, PE, Brazil.","ctr biociencias",NA,NA,"0000-0002-2304-1978","WOS:000488690700001",11
"135",135,NA,NA,NA,NA,NA,135,5,"Could not be extracted",NA,NA,NA,NA,"WOS:000488690700001",11
"136",136,"emory univ","30322","usa",33.844371,-84.47405,136,8,"Emory Univ, Dept Environm Sci, Atlanta, GA 30322 USA.","dept environm sci",NA,NA,NA,"WOS:000488690700001",11
"137",137,"univ toronto scarborough"," m1c 1a4","canada",45.1953,-76.1496,137,9,"Univ Toronto Scarborough, Dept Biol Sci, Toronto, ON M1C 1A4, Canada.","dept biol sci",NA,NA,NA,"WOS:000488690700001",11
"138",138,"univ rey juan carlos","28933","spain",40.4259,-3.6854,138,10,"Univ Rey Juan Carlos, Dept Biol Geol Fis & Quim Inorgan, C Tulipan S-N, E-28933 Madrid, Spain.","dept biol geol fis & quim inorgan",NA,NA,NA,"WOS:000488690700001",11
"139",139,"german ctr integrat biodivers res idiv","04103","germany",51.3405,12.3827,139,1,"German Ctr Integrat Biodivers Res iDiv, Deutscher Pl 5e, D-04103 Leipzig, Germany.","deutscher pl 5e","martin luther univ halle wittenberg, dept comp sci, halle, germany.",NA,"0000-0001-5580-4303","WOS:000488690700001",11
"140",140,"univ sao paulo",NA,"brazil",-21.1775,-47.81028,140,11,"Univ Sao Paulo, Fac Philol Sci & Letters, Dept Biol, Ribeirao Preto, Brazil.","fac philol sci & letters",NA,NA,NA,"WOS:000488690700001",11
"141",141,"univ paris est","94701","france",46,2,5861,12,"Univ Paris Est, UMR BIPAR, ANSES, INRA,ENVA, 14 Rue Pierre & Marie Curie, F-94701 Maisons Alfort, France.","umr bipar",NA,NA,NA,"WOS:000488690700001",11
"142",142,"univ st andrews","ky16 9th","scotland",56.25,-3.166667,142,13,"Univ St Andrews, Ctr Biol Divers, Harold Mitchell Bldg, St Andrews KY16 9TH, Fife, Scotland.","ctr biol divers",NA,NA,NA,"WOS:000488690700001",11
"143",143,"univ jos",NA,"nigeria",9.91667,8.9,143,14,"Univ Jos, AP Leventis Orinthol Res Inst, PMB 2084, Jos, Nigeria.","ap leventis orinthol res inst",NA,NA,NA,"WOS:000488690700001",11
"144",144,"thunen inst biodivers","38116","germany",52.2667,10.5333,3820,15,"Thunen Inst Biodivers, Bundesallee 65, D-38116 Braunschweig, Germany.","thunen inst biodivers",NA,NA,NA,"WOS:000488690700001",11
"145",145,"univ sydney",NA,"australia",-33.86785,151.20732,145,16,"Univ Sydney, Sch Life & Environm Sci, Desert Ecol Res Grp, Sydney, NSW 2006, Australia.","sch life & environm sci",NA,NA,NA,"WOS:000488690700001",11
"146",146,"univ western australia",NA,"australia",-25,122,146,17,"Univ Western Australia, Sch Biol Sci, Crawley, WA 6009, Australia.","sch biol sci",NA,NA,NA,"WOS:000488690700001",11
"147",147,"univ sheffield","s10 2tn","england",53.3856729,-1.4528791,707,18,"Univ Sheffield, Dept Anim & Plant Sci, Sheffield S10 2TN, S Yorkshire, England.","dept anim & plant sci",NA,NA,NA,"WOS:000488690700001",11
"148",148,"univ fed rio de janeiro","21941901","brazil",-22.90278,-43.2075,148,19,"Univ Fed Rio de Janeiro, Dept Ecol, PPGE, BR-21941901 Rio De Janeiro, RJ, Brazil.","dept ecol",NA,"L-9402-2013","0000-0001-6765-2861","WOS:000488690700001",11
"149",149,"univ leeds","ls2 9jt","england",53.7974185,-1.5437941,149,20,"Univ Leeds, Sch Geog, Fac Environm, Leeds LS2 9JT, W Yorkshire, England.","sch geog",NA,NA,NA,"WOS:000488690700001",11
"150",150,"fed univ perambuco","52171900","brazil",-8.05389,-34.88111,150,21,"Fed Univ Perambuco, Dept Biol Ecol Synth, R Dom Manoel de Mederios S-N, BR-52171900 Recife, PE, Brazil.","dept biol ecol synth",NA,NA,NA,"WOS:000488690700001",11
"151",151,"univ fed rio grande do sul","91501970","brazil",-30.03306,-51.23,151,22,"Univ Fed Rio Grande do Sul, Dept Ecol, Ave Bento Goncalves 95000, BR-91501970 Porto Alegre, RS, Brazil.","dept ecol",NA,NA,NA,"WOS:000488690700001",11
"152",152,"inra","84914","france",43.95,4.816667,5865,23,"INRA, UR406 Abeilles & Environm, Route Aerodrome, F-84914 Avignon, France.","ur406 abeilles & environm",NA,NA,NA,"WOS:000488690700001",11
"153",153,"thunen inst biodivers","38116","germany",52.2667,10.5333,3953,25,"Thunen Inst Biodivers, Bundesallee 65, D-38116 Braunschweig, Germany.","thunen inst biodivers",NA,NA,NA,"WOS:000488690700001",11
"154",154,"german ctr integrat biodivers res idiv","04103","germany",51.3405,12.3827,154,2,"German Ctr Integrat Biodivers Res iDiv, Deutscher Pl 5e, D-04103 Leipzig, Germany.","deutscher pl 5e",NA,NA,NA,"WOS:000488690700001",11
"155",155,"univ lisbon","1749016","portugal",38.7166667,-9.1333333,1337,24,"Univ Lisbon, Fac Sci, Ctr Ecol Evoluc & Environm Changes cE3c, P-1749016 Lisbon, Portugal.","fac sci",NA,NA,NA,"WOS:000488690700001",11
"156",156,"univ canberra",NA,"australia",-35.24405,149.09083,156,26,"Univ Canberra, Inst Appl Ecol, Bruce, ACT, Australia.","inst appl ecol",NA,NA,NA,"WOS:000488690700001",11
"157",157,"univ jos",NA,"nigeria",9.91667,8.9,157,27,"Univ Jos, AP Leventis Ornithol Res Inst, PMB 2084, Jos, Nigeria.","ap leventis ornithol res inst",NA,NA,NA,"WOS:000488690700001",11
"158",158,"univ fed sao carlos","18245970","brazil",-23.7975,-48.59278,158,28,"Univ Fed Sao Carlos, Ctr Nat Sci, Rodeo Lauri Simoes de Barros,Km 12, BR-18245970 Buri, SP, Brazil.","ctr nat sci",NA,NA,NA,"WOS:000488690700001",11
"159",159,"luneburg univ","21335","germany",53.2329,10.4078,159,4,"Luneburg Univ, Univ Sallee 1,C40-525, D-21335 Luneburg, Germany.","univ sallee 1",NA,NA,NA,"WOS:000488690700001",11
"160",160,"univ northampton",NA,"england",52.2385239,-0.902493,160,29,"Univ Northampton, Fac Arts & Sci Technol, Northampton, England.",NA,NA,NA,NA,"WOS:000488690700001",11
"161",161,"univ lisbon","1749016","portugal",38.7166667,-9.1333333,212,30,"Univ Lisbon, Fac Sci, Ctr Ecol Evoluc & Environm Changes cE3c, P-1749016 Lisbon, Portugal.","fac sci",NA,NA,NA,"WOS:000488690700001",11
"162",162,"univ fed santa catarina","88040970","brazil",-27.59667,-48.54917,162,31,"Univ Fed Santa Catarina, Dept Ecol & Zool, Ctr Ciencias Biol, BR-88040970 Florianopolis, SC, Brazil.","dept ecol & zool",NA,NA,NA,"WOS:000488690700001",11
"163",163,"univ sao paulo",NA,"brazil",-23.5475,-46.63611,163,32,"Univ Sao Paulo, Dept Zool, Inst Biociencias, 63 Rue Matao Traverssa 14, Sao Paulo, Brazil.","dept zool",NA,NA,NA,"WOS:000488690700001",11
"164",164,NA,NA,NA,NA,NA,8363,33,"Could not be extracted",NA,NA,NA,NA,"WOS:000488690700001",11
"165",165,"nat hist museum","sw7 5bd","england",51.5072648,-0.1278328,165,34,"Nat Hist Museum, Dept Life Sci, London SW7 5BD, England.","dept life sci",NA,NA,NA,"WOS:000488690700001",11
"166",166,"univ fed alfenas unifal mg","37130001","brazil",-21.42917,-45.94722,166,35,"Univ Fed Alfenas UNIFAL MG, Inst Ciencias Nat, Lab Ecol Fragmentos Florestais ECOFRAG, Rua Gabriel Monteiro da Silva,700, BR-37130001 Alfenas, MG, Brazil.","inst ciencias nat",NA,"D-6268-2013","0000-0001-6689-3575","WOS:000488690700001",11
"167",167,NA,NA,NA,NA,NA,1339,36,"Could not be extracted",NA,NA,NA,NA,"WOS:000488690700001",11
"168",168,"german ctr integrat biodivers res idiv","04103","germany",51.3405,12.3827,168,3,"German Ctr Integrat Biodivers Res iDiv, Deutscher Pl 5e, D-04103 Leipzig, Germany.","deutscher pl 5e",NA,NA,NA,"WOS:000488690700001",11
"169",169,"univ south bohemia","37005","czech republic",48.9833333,14.4666667,1147,37,"Univ South Bohemia, Fac Sci, Biol Ctr CAS, Inst Entomol, Branisovska 31, CZ-37005 Ceske Budejovice, Czech Republic.","fac sci",NA,NA,NA,"WOS:000488690700001",11
"170",170,"nanyang technol univ",NA,"singapore",1.28967,103.85007,739,38,"Nanyang Technol Univ, Asian Sch Environm, Singapore, Singapore.",NA,NA,NA,NA,"WOS:000488690700001",11
"171",171,"wright state univ","45435","usa",39.764189,-84.076154,171,39,"Wright State Univ, Dept Biol Sci, 3640 Colonel Glenn Highway, Dayton, OH 45435 USA.","3640 colonel glenn highway",NA,NA,NA,"WOS:000488690700001",11
"172",172,"univ kent","ct2 7nr","england",51.2800275,1.0802533,172,40,"Univ Kent, DICE, Sch Anthropol & Conservat, Canterbury CT2 7NR, Kent, England.","dice",NA,NA,NA,"WOS:000488690700001",11
"173",173,"univ fed uberlandia","38405320","brazil",-18.91861,-48.27722,4222,41,"Univ Fed Uberlandia, Inst Biol, Ave Para 1720, BR-38405320 Uberlandia, MG, Brazil.","inst biol",NA,NA,NA,"WOS:000488690700001",11
"174",174,"ben gurion univ negev","84105","israel",31.5,34.75,174,42,"Ben Gurion Univ Negev, Dept Life Sci, Spatial Ecol Lab, IS-84105 Beer Sheva, Israel.","dept life sci",NA,NA,"0000-0002-6369-9803","WOS:000488690700001",11
"175",175,"carnegie inst",NA,"usa",37.42509,-122.1675,175,5,"Carnegie Inst, Dept Global Ecol, Stanford, CA USA.",NA,NA,NA,"0000-0002-4591-643X","WOS:000488304100017",12
"176",176,"univ queensland",NA,"australia",-27.5,153,176,7,"Univ Queensland, Sch Biol Sci, Global Change Inst, St Lucia, Qld, Australia.","sch biol sci",NA,NA,NA,"WOS:000488304100017",12
"177",177,"univ queensland",NA,"australia",-27.5,153,177,11,"Univ Queensland, Sch Biol Sci, Global Change Inst, St Lucia, Qld, Australia.","sch biol sci",NA,NA,NA,"WOS:000488304100017",12
"178",178,"stanford univ","94305","usa",37.42509,-122.1675,178,9,"Stanford Univ, Environm Earth Syst Sci, Stanford, CA 94305 USA.","environm earth syst sci",NA,NA,NA,"WOS:000488304100017",12
"179",179,"univ queensland",NA,"australia",-27.5,153,179,12,"Univ Queensland, Sch Biol Sci, Global Change Inst, St Lucia, Qld, Australia.","sch biol sci",NA,NA,NA,"WOS:000488304100017",12
"180",180,"smithsonian trop res inst",NA,"panama",8.96667,-79.55,180,1,"Smithsonian Trop Res Inst, Ancon, Panama.","smithsonian trop res inst","australian res council, ctr excellence coral reef studies, st lucia, qld, australia.",NA,"0000-0001-5128-9439","WOS:000488304100017",12
"181",181,"univ queensland",NA,"australia",-27.5,153,181,8,"Univ Queensland, Fac Engn Architecture & Informat Technol, St Lucia, Qld, Australia.","fac engn architecture & informat technol",NA,NA,NA,"WOS:000488304100017",12
"182",182,"univ queensland",NA,"australia",-27.5,153,182,6,"Univ Queensland, Sch Biol Sci, Global Change Inst, St Lucia, Qld, Australia.","sch biol sci",NA,NA,NA,"WOS:000488304100017",12
"183",183,"univ calif san diego","92093","usa",32.856347,-117.250058,3487,10,"Univ Calif San Diego, Scripps Inst Oceanog, Integrat Oceanog Div, La Jolla, CA 92093 USA.","integrat oceanog div",NA,NA,NA,"WOS:000488304100017",12
"184",184,"florida state univ","32306","usa",30.427753,-84.258472,184,3,"Florida State Univ, Dept Biol Sci, B-157, Tallahassee, FL 32306 USA.","b-157",NA,NA,NA,"WOS:000488304100017",12
"185",185,"carnegie inst",NA,"usa",37.42509,-122.1675,185,4,"Carnegie Inst, Dept Global Ecol, Stanford, CA USA.",NA,NA,NA,NA,"WOS:000488304100017",12
"186",186,"stanford univ","94305","usa",37.42509,-122.1675,186,2,"Stanford Univ, Environm Earth Syst Sci, Stanford, CA 94305 USA.","environm earth syst sci",NA,NA,NA,"WOS:000488304100017",12
"187",187,"carnegie inst sci",NA,"usa",37.42509,-122.1675,187,2,"Carnegie Inst Sci, Dept Global Ecol, Stanford, CA USA.",NA,NA,NA,NA,"WOS:000486150200016",13
"188",188,"univ utah","84112","usa",40.756095,-111.900719,188,8,"Univ Utah, Sch Biol Sci, Salt Lake City, UT 84112 USA.","sch biol sci",NA,NA,NA,"WOS:000486150200016",13
"189",189,"princeton univ","08544","usa",40.343625,-74.693953,189,7,"Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.","dept ecol & evolutionary biol",NA,NA,NA,"WOS:000486150200016",13
"190",190,"karlsruhe inst technol",NA,"germany",51.5,10.5,190,4,"Karlsruhe Inst Technol, Inst Meteorol & Climate Res Atmospher Environm Re, Garmisch Partenkirchen, Germany.","inst meteorol & climate res atmospher environm re",NA,NA,NA,"WOS:000486150200016",13
"191",191,"princeton univ","08544","usa",40.343625,-74.693953,1163,6,"Princeton Univ, Dept Ecol & Evolutionary Biol, Princeton, NJ 08544 USA.","dept ecol & evolutionary biol",NA,NA,NA,"WOS:000486150200016",13
"192",192,"karlsruhe inst technol",NA,"germany",51.5,10.5,192,5,"Karlsruhe Inst Technol, Inst Meteorol & Climate Res Atmospher Environm Re, Garmisch Partenkirchen, Germany.","inst meteorol & climate res atmospher environm re",NA,"C-6986-2011","0000-0001-5989-7463","WOS:000486150200016",13
"193",193,"univ utah","84112","usa",40.756095,-111.900719,193,1,"Univ Utah, Sch Biol Sci, Salt Lake City, UT 84112 USA.","sch biol sci","univ utah, sch biol sci, salt lake city, ut 84112 usa.",NA,"0000-0002-7903-9711","WOS:000486150200016",13
"194",194,"smithsonian trop res inst",NA,"panama",8.95,-79.56667,109,3,"Smithsonian Trop Res Inst, Balboa, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000486150200016",13
"195",195,"salisbury univ","21801","usa",38.382445,-75.633621,195,4,"Salisbury Univ, Dept Biol Sci, 1101 Camden Ave, Salisbury, MD 21801 USA.","1101 camden ave",NA,NA,NA,"WOS:000486254000004",14
"196",196,"univ kentucky","40546","usa",37.98869,-84.47772,196,1,"Univ Kentucky, Dept Entomol, S225 Ag Sci Ctr, 1100 South Limestone, Lexington, KY 40546 USA.","1100 south limestone","salisbury univ, dept biol sci, 1101 camden ave, salisbury, md 21801 usa.",NA,NA,"WOS:000486254000004",14
"197",197,"salisbury univ","21801","usa",38.382445,-75.633621,197,7,"Salisbury Univ, Dept Biol Sci, 1101 Camden Ave, Salisbury, MD 21801 USA.","1101 camden ave",NA,NA,NA,"WOS:000486254000004",14
"198",198,"salisbury univ","21801","usa",38.382445,-75.633621,198,3,"Salisbury Univ, Dept Biol Sci, 1101 Camden Ave, Salisbury, MD 21801 USA.","1101 camden ave",NA,NA,NA,"WOS:000486254000004",14
"199",199,"univ texas austin","78712","usa",30.326374,-97.771258,4537,2,"Univ Texas Austin, Dept Integrat Biol, Austin, TX 78712 USA.","dept integrat biol",NA,NA,NA,"WOS:000486254000004",14
"200",200,"univ texas austin","78712","usa",30.326374,-97.771258,200,5,"Univ Texas Austin, Dept Integrat Biol, Austin, TX 78712 USA.","dept integrat biol",NA,NA,NA,"WOS:000486254000004",14
"201",201,"salisbury univ","21801","usa",38.382445,-75.633621,825,6,"Salisbury Univ, Dept Biol Sci, 1101 Camden Ave, Salisbury, MD 21801 USA.","1101 camden ave",NA,NA,NA,"WOS:000486254000004",14
"202",202,"yale univ","06511","usa",41.365709,-72.927507,202,5,"Yale Univ, Sch Forestry & Environm Studies, New Haven, CT 06511 USA.","sch forestry & environm studies",NA,NA,NA,"WOS:000487775100001",15
"203",203,"smithsonian trop res inst",NA,"panama",8.96667,-79.55,122,1,"Smithsonian Trop Res Inst, ForestGEO, Balboa, Ancon, Panama.","smithsonian trop res inst","smithsonian trop res inst, forestgeo, balboa, ancon, panama.",NA,NA,"WOS:000487775100001",15
"204",204,"royal bot garden",NA,"scotland",55.9483399,-3.1932723,204,2,"Royal Bot Garden, Edinburgh, Midlothian, Scotland.",NA,NA,NA,NA,"WOS:000487775100001",15
"205",205,"cent african forests commiss",NA,"cameroon",3.86667,11.51667,205,4,"Cent African Forests Commiss, Yaounde, Cameroon.",NA,NA,NA,NA,"WOS:000487775100001",15
"206",206,"smithsonian trop res inst",NA,"panama",8.96667,-79.55,4444,3,"Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","smithsonian trop res inst",NA,NA,NA,"WOS:000487775100001",15
"207",207,"smithsonian trop res inst",NA,"panama",8.96667,-79.55,207,6,"Smithsonian Trop Res Inst, Balboa, Ancon, Panama.","smithsonian trop res inst",NA,"E-5940-2011","0000-0002-6585-0722","WOS:000487775100001",15
"208",208,"univ fed rio de janeiro",NA,"brazil",-22.90278,-43.2075,148,1,"Univ Fed Rio de Janeiro, Dept Ecol, Rio De Janeiro, Brazil.",NA,"univ fed rio de janeiro, dept ecol, rio de janeiro, brazil.",NA,NA,"WOS:000488069800001",16
"209",209,"natl inst amazonian res",NA,"brazil",-3.10194,-60.025,209,4,"Natl Inst Amazonian Res, Biol Dynam Forest Fragments Project, Manaus, Amazonas, Brazil.","natl inst amazonian res",NA,NA,NA,"WOS:000488069800001",16
"210",210,"univ fed rio de janeiro",NA,"brazil",-22.90278,-43.2075,210,2,"Univ Fed Rio de Janeiro, Dept Ecol, Rio De Janeiro, Brazil.",NA,NA,NA,NA,"WOS:000488069800001",16
